"","date","categories","count","text"
"84",2020-03-03,"cumulative_total_deaths",3199,"deaths Count: 3,199 
Date: 2020-03-03"
"85",2020-03-04,"cumulative_total_cases",99763,"cases Count: 99,763 
Date: 2020-03-04"
"86",2020-03-04,"cumulative_total_deaths",3282,"deaths Count: 3,282 
Date: 2020-03-04"
"87",2020-03-05,"cumulative_total_cases",104081,"cases Count: 104,081 
Date: 2020-03-05"
"88",2020-03-05,"cumulative_total_deaths",3385,"deaths Count: 3,385 
Date: 2020-03-05"
"89",2020-03-06,"cumulative_total_cases",109130,"cases Count: 109,130 
Date: 2020-03-06"
"90",2020-03-06,"cumulative_total_deaths",3492,"deaths Count: 3,492 
Date: 2020-03-06"
"91",2020-03-07,"cumulative_total_cases",114869,"cases Count: 114,869 
Date: 2020-03-07"
"92",2020-03-07,"cumulative_total_deaths",3597,"deaths Count: 3,597 
Date: 2020-03-07"
"93",2020-03-08,"cumulative_total_cases",120715,"cases Count: 120,715 
Date: 2020-03-08"
"94",2020-03-08,"cumulative_total_deaths",3825,"deaths Count: 3,825 
Date: 2020-03-08"
"95",2020-03-09,"cumulative_total_cases",127923,"cases Count: 127,923 
Date: 2020-03-09"
"96",2020-03-09,"cumulative_total_deaths",4023,"deaths Count: 4,023 
Date: 2020-03-09"
"97",2020-03-10,"cumulative_total_cases",136695,"cases Count: 136,695 
Date: 2020-03-10"
"98",2020-03-10,"cumulative_total_deaths",4297,"deaths Count: 4,297 
Date: 2020-03-10"
"99",2020-03-11,"cumulative_total_cases",147969,"cases Count: 147,969 
Date: 2020-03-11"
"100",2020-03-11,"cumulative_total_deaths",4628,"deaths Count: 4,628 
Date: 2020-03-11"
"101",2020-03-12,"cumulative_total_cases",162083,"cases Count: 162,083 
Date: 2020-03-12"
"102",2020-03-12,"cumulative_total_deaths",4987,"deaths Count: 4,987 
Date: 2020-03-12"
"103",2020-03-13,"cumulative_total_cases",178756,"cases Count: 178,756 
Date: 2020-03-13"
"104",2020-03-13,"cumulative_total_deaths",5442,"deaths Count: 5,442 
Date: 2020-03-13"
"105",2020-03-14,"cumulative_total_cases",196127,"cases Count: 196,127 
Date: 2020-03-14"
"106",2020-03-14,"cumulative_total_deaths",5860,"deaths Count: 5,860 
Date: 2020-03-14"
"107",2020-03-15,"cumulative_total_cases",214952,"cases Count: 214,952 
Date: 2020-03-15"
"108",2020-03-15,"cumulative_total_deaths",6566,"deaths Count: 6,566 
Date: 2020-03-15"
"109",2020-03-16,"cumulative_total_cases",235708,"cases Count: 235,708 
Date: 2020-03-16"
"110",2020-03-16,"cumulative_total_deaths",7218,"deaths Count: 7,218 
Date: 2020-03-16"
"111",2020-03-17,"cumulative_total_cases",259613,"cases Count: 259,613 
Date: 2020-03-17"
"112",2020-03-17,"cumulative_total_deaths",8057,"deaths Count: 8,057 
Date: 2020-03-17"
"113",2020-03-18,"cumulative_total_cases",287674,"cases Count: 287,674 
Date: 2020-03-18"
"114",2020-03-18,"cumulative_total_deaths",9059,"deaths Count: 9,059 
Date: 2020-03-18"
"115",2020-03-19,"cumulative_total_cases",319785,"cases Count: 319,785 
Date: 2020-03-19"
"116",2020-03-19,"cumulative_total_deaths",10122,"deaths Count: 10,122 
Date: 2020-03-19"
"117",2020-03-20,"cumulative_total_cases",358136,"cases Count: 358,136 
Date: 2020-03-20"
"118",2020-03-20,"cumulative_total_deaths",11506,"deaths Count: 11,506 
Date: 2020-03-20"
"119",2020-03-21,"cumulative_total_cases",392121,"cases Count: 392,121 
Date: 2020-03-21"
"120",2020-03-21,"cumulative_total_deaths",13141,"deaths Count: 13,141 
Date: 2020-03-21"
"121",2020-03-22,"cumulative_total_cases",429229,"cases Count: 429,229 
Date: 2020-03-22"
"122",2020-03-22,"cumulative_total_deaths",14823,"deaths Count: 14,823 
Date: 2020-03-22"
"123",2020-03-23,"cumulative_total_cases",472953,"cases Count: 472,953 
Date: 2020-03-23"
"124",2020-03-23,"cumulative_total_deaths",16766,"deaths Count: 16,766 
Date: 2020-03-23"
"125",2020-03-24,"cumulative_total_cases",519097,"cases Count: 519,097 
Date: 2020-03-24"
"126",2020-03-24,"cumulative_total_deaths",19291,"deaths Count: 19,291 
Date: 2020-03-24"
"127",2020-03-25,"cumulative_total_cases",568902,"cases Count: 568,902 
Date: 2020-03-25"
"128",2020-03-25,"cumulative_total_deaths",21851,"deaths Count: 21,851 
Date: 2020-03-25"
"129",2020-03-26,"cumulative_total_cases",631326,"cases Count: 631,326 
Date: 2020-03-26"
"130",2020-03-26,"cumulative_total_deaths",24902,"deaths Count: 24,902 
Date: 2020-03-26"
"131",2020-03-27,"cumulative_total_cases",698463,"cases Count: 698,463 
Date: 2020-03-27"
"132",2020-03-27,"cumulative_total_deaths",28427,"deaths Count: 28,427 
Date: 2020-03-27"
"133",2020-03-28,"cumulative_total_cases",766199,"cases Count: 766,199 
Date: 2020-03-28"
"134",2020-03-28,"cumulative_total_deaths",32180,"deaths Count: 32,180 
Date: 2020-03-28"
"135",2020-03-29,"cumulative_total_cases",827375,"cases Count: 827,375 
Date: 2020-03-29"
"136",2020-03-29,"cumulative_total_deaths",35642,"deaths Count: 35,642 
Date: 2020-03-29"
"137",2020-03-30,"cumulative_total_cases",891581,"cases Count: 891,581 
Date: 2020-03-30"
"138",2020-03-30,"cumulative_total_deaths",39862,"deaths Count: 39,862 
Date: 2020-03-30"
"139",2020-03-31,"cumulative_total_cases",967564,"cases Count: 967,564 
Date: 2020-03-31"
"140",2020-03-31,"cumulative_total_deaths",44541,"deaths Count: 44,541 
Date: 2020-03-31"
"141",2020-04-01,"cumulative_total_cases",1045704,"cases Count: 1,045,704 
Date: 2020-04-01"
"142",2020-04-01,"cumulative_total_deaths",49855,"deaths Count: 49,855 
Date: 2020-04-01"
"143",2020-04-02,"cumulative_total_cases",1124988,"cases Count: 1,124,988 
Date: 2020-04-02"
"144",2020-04-02,"cumulative_total_deaths",56164,"deaths Count: 56,164 
Date: 2020-04-02"
"145",2020-04-03,"cumulative_total_cases",1211565,"cases Count: 1,211,565 
Date: 2020-04-03"
"146",2020-04-03,"cumulative_total_deaths",62337,"deaths Count: 62,337 
Date: 2020-04-03"
"147",2020-04-04,"cumulative_total_cases",1293718,"cases Count: 1,293,718 
Date: 2020-04-04"
"148",2020-04-04,"cumulative_total_deaths",68638,"deaths Count: 68,638 
Date: 2020-04-04"
"149",2020-04-05,"cumulative_total_cases",1367914,"cases Count: 1,367,914 
Date: 2020-04-05"
"150",2020-04-05,"cumulative_total_deaths",73907,"deaths Count: 73,907 
Date: 2020-04-05"
"151",2020-04-06,"cumulative_total_cases",1443911,"cases Count: 1,443,911 
Date: 2020-04-06"
"152",2020-04-06,"cumulative_total_deaths",79651,"deaths Count: 79,651 
Date: 2020-04-06"
"153",2020-04-07,"cumulative_total_cases",1527188,"cases Count: 1,527,188 
Date: 2020-04-07"
"154",2020-04-07,"cumulative_total_deaths",87389,"deaths Count: 87,389 
Date: 2020-04-07"
"155",2020-04-08,"cumulative_total_cases",1616256,"cases Count: 1,616,256 
Date: 2020-04-08"
"156",2020-04-08,"cumulative_total_deaths",94369,"deaths Count: 94,369 
Date: 2020-04-08"
"157",2020-04-09,"cumulative_total_cases",1705955,"cases Count: 1,705,955 
Date: 2020-04-09"
"158",2020-04-09,"cumulative_total_deaths",102256,"deaths Count: 102,256 
Date: 2020-04-09"
"159",2020-04-10,"cumulative_total_cases",1803878,"cases Count: 1,803,878 
Date: 2020-04-10"
"160",2020-04-10,"cumulative_total_deaths",109640,"deaths Count: 109,640 
Date: 2020-04-10"
"161",2020-04-11,"cumulative_total_cases",1889627,"cases Count: 1,889,627 
Date: 2020-04-11"
"162",2020-04-11,"cumulative_total_deaths",116137,"deaths Count: 116,137 
Date: 2020-04-11"
"163",2020-04-12,"cumulative_total_cases",1966194,"cases Count: 1,966,194 
Date: 2020-04-12"
"164",2020-04-12,"cumulative_total_deaths",122054,"deaths Count: 122,054 
Date: 2020-04-12"
"165",2020-04-13,"cumulative_total_cases",2042532,"cases Count: 2,042,532 
Date: 2020-04-13"
"166",2020-04-13,"cumulative_total_deaths",128065,"deaths Count: 128,065 
Date: 2020-04-13"
"167",2020-04-14,"cumulative_total_cases",2122773,"cases Count: 2,122,773 
Date: 2020-04-14"
